[*] Config Loaded: Name='flight-hawaii-van-Teams', Duration=600s
[*] Launching Chrome for Teams...
[*] Joining URL: [REDACTED_TEAMS_MEETING_URL]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 600 seconds...
[LOG] Time: 221s | RTT: 192.00 ms | State: connected
[LOG] Time: 222s | RTT: 192.00 ms | State: connected
[LOG] Time: 223s | RTT: 192.00 ms | State: connected
[LOG] Time: 224s | RTT: 177.00 ms | State: connected
[LOG] Time: 225s | RTT: 177.00 ms | State: connected
[LOG] Time: 227s | RTT: 315.00 ms | State: connected
[LOG] Time: 228s | RTT: 315.00 ms | State: connected
[LOG] Time: 229s | RTT: 315.00 ms | State: connected
[LOG] Time: 230s | RTT: 136.00 ms | State: connected
[LOG] Time: 231s | RTT: 136.00 ms | State: connected
[LOG] Time: 232s | RTT: 153.00 ms | State: connected
[LOG] Time: 233s | RTT: 153.00 ms | State: connected
[LOG] Time: 234s | RTT: 142.00 ms | State: connected
[LOG] Time: 235s | RTT: 142.00 ms | State: connected
[LOG] Time: 236s | RTT: 142.00 ms | State: connected
[LOG] Time: 237s | RTT: 175.00 ms | State: connected
[LOG] Time: 239s | RTT: 175.00 ms | State: connected
[LOG] Time: 240s | RTT: 140.00 ms | State: connected
[LOG] Time: 241s | RTT: 140.00 ms | State: connected
[LOG] Time: 242s | RTT: 140.00 ms | State: connected
[LOG] Time: 243s | RTT: 160.00 ms | State: connected
[LOG] Time: 244s | RTT: 160.00 ms | State: connected
[LOG] Time: 245s | RTT: 151.00 ms | State: connected
[LOG] Time: 246s | RTT: 151.00 ms | State: connected
[LOG] Time: 247s | RTT: 151.00 ms | State: connected
[LOG] Time: 248s | RTT: 153.00 ms | State: connected
[LOG] Time: 249s | RTT: 153.00 ms | State: connected
[LOG] Time: 251s | RTT: 136.00 ms | State: connected
[LOG] Time: 252s | RTT: 136.00 ms | State: connected
[LOG] Time: 253s | RTT: 135.00 ms | State: connected
[LOG] Time: 254s | RTT: 135.00 ms | State: connected
[LOG] Time: 255s | RTT: 135.00 ms | State: connected
[LOG] Time: 256s | RTT: 177.00 ms | State: connected
[LOG] Time: 257s | RTT: 177.00 ms | State: connected
[LOG] Time: 258s | RTT: 151.00 ms | State: connected
[LOG] Time: 259s | RTT: 151.00 ms | State: connected
[LOG] Time: 260s | RTT: 151.00 ms | State: connected
[LOG] Time: 261s | RTT: 157.00 ms | State: connected
[LOG] Time: 263s | RTT: 157.00 ms | State: connected
[LOG] Time: 264s | RTT: 180.00 ms | State: connected
[LOG] Time: 265s | RTT: 180.00 ms | State: connected
[LOG] Time: 266s | RTT: 180.00 ms | State: connected
[LOG] Time: 267s | RTT: 167.00 ms | State: connected
[LOG] Time: 268s | RTT: 167.00 ms | State: connected
[LOG] Time: 269s | RTT: 156.00 ms | State: connected
[LOG] Time: 270s | RTT: 156.00 ms | State: connected
[LOG] Time: 271s | RTT: 156.00 ms | State: connected
[LOG] Time: 272s | RTT: 141.00 ms | State: connected
[LOG] Time: 273s | RTT: 141.00 ms | State: connected
[LOG] Time: 274s | RTT: 143.00 ms | State: connected
[LOG] Time: 276s | RTT: 143.00 ms | State: connected
[LOG] Time: 277s | RTT: 143.00 ms | State: connected
[LOG] Time: 278s | RTT: 261.00 ms | State: connected
[LOG] Time: 279s | RTT: 261.00 ms | State: connected
[LOG] Time: 280s | RTT: 130.00 ms | State: connected
[LOG] Time: 281s | RTT: 130.00 ms | State: connected
[LOG] Time: 282s | RTT: 170.00 ms | State: connected
[LOG] Time: 283s | RTT: 170.00 ms | State: connected
[LOG] Time: 284s | RTT: 170.00 ms | State: connected
[LOG] Time: 285s | RTT: 166.00 ms | State: connected
[LOG] Time: 286s | RTT: 166.00 ms | State: connected
[LOG] Time: 288s | RTT: 157.00 ms | State: connected
[LOG] Time: 289s | RTT: 157.00 ms | State: connected
[LOG] Time: 290s | RTT: 157.00 ms | State: connected
[LOG] Time: 291s | RTT: 152.00 ms | State: connected
[LOG] Time: 292s | RTT: 152.00 ms | State: connected
[LOG] Time: 293s | RTT: 230.00 ms | State: connected
[LOG] Time: 294s | RTT: 230.00 ms | State: connected
[LOG] Time: 295s | RTT: 230.00 ms | State: connected
[LOG] Time: 296s | RTT: 241.00 ms | State: connected
[LOG] Time: 297s | RTT: 241.00 ms | State: connected
[LOG] Time: 298s | RTT: 155.00 ms | State: connected
[LOG] Time: 300s | RTT: 155.00 ms | State: connected
[LOG] Time: 301s | RTT: 170.00 ms | State: connected
[LOG] Time: 302s | RTT: 170.00 ms | State: connected
[LOG] Time: 303s | RTT: 170.00 ms | State: connected
[LOG] Time: 304s | RTT: 136.00 ms | State: connected
[LOG] Time: 305s | RTT: 136.00 ms | State: connected
[LOG] Time: 306s | RTT: 126.00 ms | State: connected
[LOG] Time: 307s | RTT: 126.00 ms | State: connected
[LOG] Time: 308s | RTT: 126.00 ms | State: connected
[LOG] Time: 309s | RTT: 165.00 ms | State: connected
[LOG] Time: 310s | RTT: 165.00 ms | State: connected
[LOG] Time: 312s | RTT: 201.00 ms | State: connected
[LOG] Time: 313s | RTT: 201.00 ms | State: connected
[LOG] Time: 314s | RTT: 201.00 ms | State: connected
[LOG] Time: 315s | RTT: 141.00 ms | State: connected
[LOG] Time: 316s | RTT: 141.00 ms | State: connected
[LOG] Time: 317s | RTT: 210.00 ms | State: connected
[LOG] Time: 318s | RTT: 210.00 ms | State: connected
